neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Chinatown,94108,House,Shared room,1,2.5,1,2,Real Bed,$30.00,,$880.00,$300.00,,1,$0.00,30,365,15,3,5/29/11,9/17/19,93,9,8,9,9,9,10,strict_14_with_grace_period
Financial District,94111,Hostel,Shared room,1,3,1,0,Real Bed,$45.00,$329.00,,$0.00,$0.00,1,$45.00,1,14,388,59,1/30/11,10/8/19,92,10,9,10,10,10,10,flexible
Bernal Heights,94110,Guest suite,Private room,2,1,1,1,Real Bed,$109.00,,,,$60.00,1,$0.00,3,26,142,44,3/3/16,10/6/19,98,10,10,10,10,9,9,flexible
Inner Richmond,94118,Apartment,Entire home/apt,2,1,1,2,Real Bed,$80.00,,"$2,700.00",,$100.00,1,$20.00,30,365,2,0,8/2/11,9/30/11,60,9,8,10,10,8,8,moderate
Western Addition,94117,Apartment,Entire home/apt,8,1,0,3,Real Bed,$90.00,"$1,200.00","$3,500.00",$500.00,$100.00,4,$7.00,30,365,97,4,3/18/11,9/7/19,91,8,8,10,9,10,9,strict_14_with_grace_period
Financial District,94111,Hostel,Shared room,2,1,1,8,Real Bed,$45.00,$329.00,,$0.00,$0.00,1,$45.00,1,14,395,64,3/28/11,9/20/19,94,9,9,10,10,10,9,flexible
Western Addition,94117,Apartment,Entire home/apt,6,1,1,3,Real Bed,$105.00,"$1,000.00","$3,500.00",$400.00,$0.00,2,$6.00,30,365,52,3,2/18/11,4/30/19,89,9,9,10,9,10,9,strict_14_with_grace_period
South of Market,94103,Apartment,Entire home/apt,2,1,1,1,Real Bed,$270.00,,"$5,997.00",$500.00,$120.00,1,$0.00,30,40,30,0,6/16/12,8/26/18,99,10,10,10,10,8,9,moderate
Western Addition,94117,Apartment,Entire home/apt,4,1,0,2,Real Bed,$100.00,"$1,200.00","$3,200.00",$400.00,$100.00,2,$5.00,30,365,19,2,1/30/12,6/1/19,96,9,9,10,10,10,9,strict_14_with_grace_period
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$37.00,,"$1,175.00",$150.00,$35.00,1,$15.00,30,1125,35,2,3/22/11,8/10/19,84,9,8,9,9,8,8,strict_14_with_grace_period
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$40.00,,"$1,100.00",$150.00,$35.00,1,$20.00,30,1825,9,0,1/31/12,7/9/18,100,9,9,10,10,9,9,strict_14_with_grace_period
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$45.00,,"$1,125.00",$150.00,$40.00,1,$15.00,30,1825,35,3,5/3/11,8/10/19,88,9,8,9,9,8,9,strict_14_with_grace_period
Glen Park,94131,House,Entire home/apt,2,1,1,1,Real Bed,$135.00,,,,$50.00,2,$0.00,3,31,381,31,4/1/11,10/12/19,98,10,10,10,10,10,10,moderate
Excelsior,94112,House,Private room,3,1,1,1,Real Bed,$57.00,,"$1,400.00",$150.00,$50.00,1,$15.00,30,1825,23,3,12/23/11,8/11/19,82,8,8,9,8,8,8,strict_14_with_grace_period
Mission,94110,Apartment,Private room,1,2,1,1,Real Bed,$75.00,,"$2,100.00",$300.00,$100.00,1,$0.00,30,360,91,22,6/5/11,9/19/19,95,10,9,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$140.00,"$1,000.00",,$500.00,$100.00,2,$20.00,30,90,22,12,3/1/14,9/22/19,98,10,10,10,10,9,10,moderate
Western Addition,94115,Condominium,Entire home/apt,4,1,1,2,Real Bed,$83.00,$600.00,"$2,500.00",$200.00,$150.00,2,$10.00,30,330,16,4,5/4/11,9/30/19,94,10,9,10,10,10,9,moderate
Excelsior,94112,House,Private room,3,1,1,1,Real Bed,$45.00,,"$1,150.00",$150.00,$35.00,1,$15.00,30,1825,20,1,7/18/11,12/24/18,78,8,7,8,9,7,8,strict_14_with_grace_period
Western Addition,94115,House,Private room,1,1,1,1,Real Bed,$90.00,$550.00,"$1,500.00",$300.00,$55.00,1,$0.00,1,365,93,12,5/23/11,10/9/19,97,10,10,10,10,9,10,moderate
Outer Richmond,94121,Apartment,Entire home/apt,2,1,0,1,Real Bed,$85.00,,"$2,500.00",,$155.00,2,$50.00,30,290,8,2,9/11/11,5/27/19,97,10,10,9,10,9,9,super_strict_30
Castro/Upper Market,94114,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$85.00,,,$200.00,$60.00,1,$15.00,5,30,251,45,5/6/11,10/12/19,95,10,10,10,10,10,10,moderate
Noe Valley,94131,Guest suite,Private room,2,1,1,1,Real Bed,$115.00,$900.00,"$3,600.00",$0.00,$30.00,1,$0.00,2,21,352,45,4/18/11,10/11/19,99,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,$201.00,"$1,800.00","$7,000.00",$300.00,$150.00,4,$20.00,30,730,95,1,9/29/11,1/1/19,95,9,9,10,10,10,9,strict_14_with_grace_period
Pacific Heights,94109,Apartment,Private room,1,0,1,1,Real Bed,$59.00,,"$1,560.00",,$70.00,1,$20.00,30,365,133,4,5/19/11,7/31/19,94,10,9,10,10,10,9,moderate
Mission,94103,Apartment,Entire home/apt,4,1,2,3,Real Bed,$185.00,"$1,000.00",,$300.00,$100.00,3,$0.00,4,18,380,258,4/20/18,10/12/19,96,10,10,10,10,10,10,moderate
Mission,94110,Apartment,Entire home/apt,5,2,3,3,Real Bed,$450.00,"$2,900.00","$8,500.00",,,4,$0.00,4,29,11,1,7/28/11,7/8/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Chinatown,94108,House,Shared room,1,2.5,1,1,Real Bed,$30.00,,$880.00,$300.00,,1,$0.00,30,730,6,1,9/11/12,4/30/19,97,10,9,10,9,8,10,strict_14_with_grace_period
Outer Sunset,94122,House,Private room,1,1,1,1,Airbed,$85.00,,,$500.00,$85.00,1,$85.00,45,730,4,1,9/29/17,8/16/19,80,8,8,8,8,8,8,strict_14_with_grace_period
Downtown/Civic Center,94109,Apartment,Entire home/apt,2,2,2,2,Real Bed,$130.00,,"$4,200.00",$150.00,$150.00,2,$100.00,30,60,60,2,5/10/11,4/23/19,99,10,10,10,10,8,10,strict_14_with_grace_period
West of Twin Peaks,94127,Guest suite,Entire home/apt,4,1,2,2,Real Bed,$125.00,$850.00,"$3,000.00",$0.00,$50.00,2,$40.00,2,1125,359,54,6/15/11,10/12/19,94,10,10,10,10,10,9,moderate
Bayview,94124,House,Entire home/apt,4,1,2,2,Real Bed,$120.00,$850.00,"$3,200.00",$300.00,$150.00,2,$10.00,30,730,9,1,8/24/11,8/11/19,94,10,9,10,10,9,10,strict_14_with_grace_period
